ButterflyID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	Lifespan_Winter	WinterDestiny	Strategy																		
226	P_c_alb_Hut	m	127.9	0.307524537	91.8	-36.1	-0.282251759	20	Dead	non-diapause																		
227	P_c_alb_Hut	f	144.1	0.484187568	142.7	-1.4	-0.009715475	54	Dead	non-diapause																		
303	P_c_alb_W	f	148	0.677083333	177.3	29.3	0.197972973	79	Dead	diapause																		
309	P_c_alb_W	f	122	0	146.3	24.3	0.199180328	42	Dead	diapause																		
311	P_c_alb_W	m	159.1	0.966145833	160.2	1.1	0.006913891	13	Dead	diapause																		
315	P_c_alb_W	m	160.4	1	163.2	2.8	0.017456359	13	Dead	diapause																		
404	A_urticae	m	162	1	142.4	-19.6	-0.120987654	73	Dead	diapause																		
409	A_urticae	m	159.3	0.926430518	138.6	-20.7	-0.129943503	43	Dead	diapause																		
411	A_urticae	f	149.4	0.656675749	194.8	45.4	0.303882195	34	Dead	diapause																		
419	A_urticae	f	149.8	0.667574932	159.3	9.5	0.063417891	73	Dead	diapause																		
428	A_urticae	m	145	0.536784741	120.8	-24.2	-0.166896552	12	Dead	diapause																		
430	A_urticae	m	125.3	0	122.1	-3.2	-0.025538707	13	Dead	diapause																		
433	A_urticae	f	152.8	0.749318801	193.4	40.6	0.265706806	43	Dead	diapause																		
436	A_urticae	f	135.3	0.272479564	135.8	0.5	0.003695492	36	Dead	diapause																		
437	A_urticae	m	153.2	0.760217984	141.6	-11.6	-0.075718016	34	Dead	diapause																		
439	A_urticae	m	133.7	0.228882834	102.9	-30.8	-0.230366492	4	Dead	diapause																		
441	A_urticae	f	137.5	0.332425068	174.9	37.4	0.272	28	Dead	diapause																		
446	A_urticae	m	126	0.019073569	115.6	-10.4	-0.082539683	35	Dead	diapause																		
501	I_io	m	204.1	0.293632959	138.1	-66	-0.323370897	6	Dead	diapause																		
503	I_io	m	218.1	0.398501873	193.5	-24.6	-0.112792297	17	Dead	diapause																		
505	I_io	m	238	0.547565543	134.7	-103.3	-0.434033613	7	Dead	diapause																		
507	I_io	m	194.3	0.220224719	183.9	-10.4	-0.053525476	16	Dead	diapause																		
508	I_io	f	218.5	0.401498127	218.6	0.1	0.000457666	24	Dead	diapause																		
512	I_io	f	274	0.817228464	376.9	102.9	0.375547445	90	Dead	diapause																		
513	I_io	m	190.6	0.192509363	149.5	-41.1	-0.215634837	10	Dead	diapause																		
517	I_io	m	210.8	0.343820225	179.2	-31.6	-0.149905123	15	Dead	diapause																		
518	I_io	f	230	0.487640449	196.9	-33.1	-0.143913043	24	Dead	diapause																		
524	I_io	m	196.3	0.235205993	221.7	25.4	0.129393785	77	Dead	diapause																		
525	I_io	f	298.4	1	302.9	4.5	0.015080429	83	Dead	diapause																		
532	I_io	f	218.8	0.403745318	304.3	85.5	0.390767824	43	Dead	diapause																		
561	I_io	m	164.9	0	161.7	-3.2	-0.0194057	24	Dead	diapause																		
