Butterfly_ID	Species	Sex	EcloseMass	StdEcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	WinterDestiny	Survival	Strategy	Daily_Mass_Loss	Prop_Mass_Loss
211	P_c-a_H	male	191.4	1	108.2	-83.2	-0.434691745	Dead	0	8	Direct	-3.4	-0.03142329
212	P_c-a_H	female	128.2	0.310796074	136.7	8.5	0.066302652	Dead	0	20	Direct	-2.4	-0.017556693
213	P_c-a_H	male	173.3	0.80261723	137.6	-35.7	-0.206001154	Dead	0	10	Direct	-5.05	-0.036700581
214	P_c-a_H	female	141.9	0.460196292	102.7	-39.2	-0.276250881	Dead	0	6	Direct	-2.216666667	-0.021583901
215	P_c-a_H	male	170.1	0.767720829	123.4	-46.7	-0.274544386	Dead	0	6	Direct	-7.016666667	-0.056861156
216	P_c-a_H	male	173.4	0.803707743	125.1	-48.3	-0.278546713	Dead	0	12	Direct	-3.175	-0.025379696
217	P_c-a_H	female	99.7	0	82.6	-17.1	-0.171514544	Dead	0	6	Direct	-4.3	-0.052058111
218	P_c-a_H	male	125.7	0.283533261	101.1	-24.6	-0.195704057	Dead	0	16	Direct	-1.925	-0.019040554
219	P_c-a_H	male	134.5	0.379498364	97.8	-36.7	-0.272862454	Dead	0	6	Direct	-4.933333333	-0.050443081
220	P_c-a_H	male	178.6	0.860414395	144.1	-34.5	-0.193169093	Dead	0	10	Direct	-5.11	-0.035461485
221	P_c-a_H	female	145.7	0.501635769	145	-0.7	-0.004804393	Dead	0	10	Direct	-4.6	-0.031724138
222	P_c-a_H	female	135	0.384950927	115	-20	-0.148148148	Dead	0	20	Direct	-1.445	-0.012565217
224	P_c-a_H	female	126	0.286804798	113.8	-12.2	-0.096825397	Dead	0	20	Direct	-2.185	-0.019200351
226	P_c-a_H	male	127.9	0.307524537	91.8	-36.1	-0.282251759	Dead	0	20	Direct	-1.325	-0.014433551
227	P_c-a_H	female	144.1	0.484187568	142.7	-1.4	-0.009715475	Dead	0	20	Direct	-2.535	-0.017764541
301	P_c-a_W	female	171.9	0.913612565	217.9	46	0.26759744	Alive	1	20	Diapause	-1.815	-0.008329509
302	P_c-a_W	female	167.2	0.852094241	215.6	48.4	0.289473684	Alive	1	20	Diapause	-2.34	-0.010853432
303	P_c-a_W	female	148	0.60078534	177.3	29.3	0.197972973	Dead	0	20	Diapause	-3.655	-0.020614777
304	P_c-a_W	female	138.1	0.471204188	203	64.9	0.469949312	Alive	1	20	Diapause	-1.84	-0.009064039
305	P_c-a_W	male	144.5	0.554973822	197.6	53.1	0.367474048	Alive	1	20	Diapause	-1.76	-0.008906883
306	P_c-a_W	female	151.4	0.645287958	223	71.6	0.472919419	Alive	1	20	Diapause	-2.165	-0.00970852
307	P_c-a_W	female	125.6	0.307591623	166.8	41.2	0.328025478	Alive	1	20	Diapause	-1.775	-0.010641487
308	P_c-a_W	female	134.1	0.418848168	145	10.9	0.081282625	Alive	1	20	Diapause	-1.58	-0.010896552
309	P_c-a_W	female	122	0.260471204	146.3	24.3	0.199180328	Dead	0	20	Diapause	-2.99	-0.020437457
310	P_c-a_W	female	142.5	0.528795812	233.8	91.3	0.640701754	Alive	1	20	Diapause	-3.07	-0.013130881
311	P_c-a_W	male	159.1	0.746073298	160.2	1.1	0.006913891	Dead	0	13	Diapause	-5.323076923	-0.033227696
312	P_c-a_W	female	102.1	0	157.1	55	0.538687561	Alive	1	20	Diapause	-2.175	-0.013844685
313	P_c-a_W	male	178.5	1	221	42.5	0.238095238	Alive	1	20	Diapause	-2.02	-0.009140271
314	P_c-a_W	female	172.3	0.918848168	193.4	21.1	0.122460824	Alive	1	20	Diapause	-2.345	-0.012125129
315	P_c-a_W	male	160.4	0.763089005	163.2	2.8	0.017456359	Dead	0	13	Diapause	-5.453846154	-0.033418175
316	P_c-a_W	male	144.4	0.553664921	163.6	19.2	0.132963989	Alive	1	20	Diapause	-3.21	-0.019621027
317	P_c-a_W	female	136.3	0.447643979	212.9	76.6	0.561995598	Alive	1	20	Diapause	-2.895	-0.013597933
318	P_c-a_W	male	173.6	0.935863874	210.5	36.9	0.212557604	Alive	1	20	Diapause	-2.515	-0.011947743
319	P_c-a_W	female	151.9	0.651832461	227.4	75.5	0.497037525	Alive	1	20	Diapause	-3.145	-0.013830255
320	P_c-a_W	male	146.5	0.581151832	161.8	15.3	0.10443686	Alive	1	20	Diapause	-1.875	-0.011588381
321	P_c-a_W	male	138.2	0.472513089	153	14.8	0.107091172	Alive	1	20	Diapause	-2.395	-0.015653595
322	P_c-a_W	male	134.4	0.422774869	163.1	28.7	0.213541667	Alive	1	20	Diapause	-2.015	-0.012354384
402	A_urticae	male	166.7	0.958333333	190.9	24.2	0.145170966	Alive	1	20	Diapause	-0.265	-0.001388161
404	A_urticae	male	162	0.849537037	142.4	-19.6	-0.120987654	Dead	0	20	Diapause	-0.245	-0.001720506
405	A_urticae	male	153.6	0.655092593	178.5	24.9	0.162109375	Alive	1	20	Diapause	-0.28	-0.001568627
407	A_urticae	female	157.6	0.747685185	210.2	52.6	0.333756345	Alive	1	20	Diapause	-0.215	-0.001022835
409	A_urticae	male	159.3	0.787037037	138.6	-20.7	-0.129943503	Dead	0	20	Diapause	-0.305	-0.002200577
411	A_urticae	female	149.4	0.55787037	194.8	45.4	0.303882195	Dead	0	20	Diapause	-0.355	-0.001822382
412	A_urticae	female	134.5	0.212962963	156.8	22.3	0.165799257	Alive	1	20	Diapause	-0.24	-0.001530612
413	A_urticae	female	168.5	1	228.8	60.3	0.357863501	Alive	1	20	Diapause	-0.085	-0.000371503
414	A_urticae	female	158.1	0.759259259	192.4	34.3	0.216951297	Alive	1	20	Diapause	-0.215	-0.001117464
415	A_urticae	female	158	0.756944444	132.5	-25.5	-0.161392405	Alive	1	20	Diapause	-0.255	-0.001924528
416	A_urticae	female	156.7	0.726851852	144.3	-12.4	-0.0791321	Alive	1	20	Diapause	-0.115	-0.000796951
417	A_urticae	female	163.6	0.886574074	154.2	-9.4	-0.057457213	Alive	1	20	Diapause	-0.06	-0.000389105
419	A_urticae	female	149.8	0.56712963	159.3	9.5	0.063417891	Dead	0	20	Diapause	-0.225	-0.001412429
420	A_urticae	male	153.5	0.652777778	178	24.5	0.159609121	Alive	1	20	Diapause	-0.09	-0.000505618
421	A_urticae	male	136.6	0.261574074	151.6	15	0.109809663	Alive	1	20	Diapause	-0.145	-0.000956464
423	A_urticae	male	139.7	0.333333333	157	17.3	0.123836793	Alive	1	20	Diapause	-0.3	-0.001910828
424	A_urticae	male	158.5	0.768518519	159.6	1.1	0.006940063	Alive	1	20	Diapause	-0.335	-0.002098997
425	A_urticae	male	132.7	0.171296296	146.1	13.4	0.100979653	Alive	1	20	Diapause	-0.215	-0.001471595
