ButterflyID	Species	Sex	EcloseMass	10DayMass	MassChange10days	PropMassChange	WinterDestiny	Survival	StdEcloseMass	AbsoluteMassChangeStd	MassChangeStd	Winter_mass_day	Mass_20_day_or_death	Daily_Mass_Loss	Prop_Mass_Loss	Strategy
426	A_urticae	female	144.6	211.4	66.8	0.461964039	Alive	1	0.446759259	0.861795075	0.415035816	20	207.5	-0.195	-0.000922422	Diapause
427	A_urticae	male	129.4	163.6	34.2	0.264296754	Alive	1	0.094907407	0.482128674	0.387221266	20	159	-0.23	-0.001405868	Diapause
428	A_urticae	male	145	120.8	-24.2	-0.166896552	Dead	0	0.456018519	0.14217633	-0.313842188	12	105.9	-1.241666667	-0.010278698	Diapause
429	A_urticae	female	132.3	207.2	74.9	0.566137566	Alive	1	0.162037037	0.828435266	0.666398229	20	201.9	-0.265	-0.001278958	Diapause
430	A_urticae	male	125.3	122.1	-3.2	-0.025538707	Dead	0	0	0.152501986	0.152501986	13	106.7	-1.184615385	-0.00970201	Diapause
432	A_urticae	female	163.9	204.5	40.6	0.24771202	Alive	1	0.893518519	0.806989674	-0.086528844	20	200.6	-0.195	-0.000953545	Diapause
433	A_urticae	female	152.8	193.4	40.6	0.265706806	Dead	0	0.636574074	0.718824464	0.08225039	20	184.7	-0.435	-0.002249224	Diapause
434	A_urticae	female	132.8	186.2	53.4	0.402108434	Alive	1	0.173611111	0.661636219	0.488025108	20	179.3	-0.345	-0.001852846	Diapause
435	A_urticae	female	144.7	202.1	57.4	0.396682792	Alive	1	0.449074074	0.787926926	0.338852852	20	168.8	-1.665	-0.008238496	Diapause
436	A_urticae	female	135.3	135.8	0.5	0.003695492	Dead	0	0.231481481	0.261318507	0.029837025	20	132.6	-0.16	-0.001178203	Diapause
437	A_urticae	male	153.2	141.6	-11.6	-0.075718016	Dead	0	0.645833333	0.307386815	-0.338446518	20	138.9	-0.135	-0.00095339	Diapause
438	A_urticae	female	143.3	195.6	52.3	0.364968597	Alive	1	0.416666667	0.73629865	0.319631983	20	189.9	-0.285	-0.001457055	Diapause
439	A_urticae	male	133.7	102.9	-30.8	-0.230366492	Dead	0	0.194444444	0	-0.194444444	4	96.6	-1.575	-0.015306122	Diapause
440	A_urticae	male	140.8	183.2	42.4	0.301136364	Alive	1	0.358796296	0.637807784	0.279011488	20	178.4	-0.24	-0.001310044	Diapause
441	A_urticae	female	137.5	174.9	37.4	0.272	Dead	0	0.282407407	0.571882446	0.289475039	20	164.9	-0.5	-0.002858776	Diapause
443	A_urticae	female	157.5	227.1	69.6	0.441904762	Alive	1	0.74537037	0.98649722	0.24112685	20	222.2	-0.245	-0.00107882	Diapause
444	A_urticae	male	140.1	184.1	44	0.314061385	Alive	1	0.342592593	0.644956315	0.302363722	20	179.3	-0.24	-0.001303639	Diapause
446	A_urticae	male	126	115.6	-10.4	-0.082539683	Dead	0	0.016203704	0.100873709	0.084670006	20	106.8	-0.44	-0.003806228	Diapause
447	A_urticae	female	130.4	173	42.6	0.326687117	Alive	1	0.118055556	0.556791104	0.438735548	20	167.2	-0.29	-0.001676301	Diapause
448	A_urticae	male	152.2	218.6	66.4	0.436268068	Alive	1	0.622685185	0.91898332	0.296298135	20	215.2	-0.17	-0.000777676	Diapause
