Butterfly_ID	Strategy	Metabolism
A8	Diapause	0.04697863
A4	Diapause	0.020014057
A5	Diapause	0.034110568
A6	Diapause	0.022320992
I3	Diapause	0.048769272
I4	Diapause	0.028366461
I6	Diapause	0.046347215
I2	Diapause	0.050868025
V1	Migration	0.150019522
V2	Migration	0.135980714
V3	Migration	0.129049688
V4	Migration	0.104239013
V5	Migration	0.105707422
V6	Migration	0.099230939
V7	Migration	0.081420895
V8	Migration	0.041109308
V9	Migration	0.097550561
V10	Migration	0.0868044
